Description	p.adjust_A549	p.adjust_Calu-3	p.adjust_HepG2	is_sig_A549	is_sig_Calu-3	is_sig_HepG2	n_lines_sig
positive regulation of MAPK cascade	NA	NA	0.0320343755503597	NA	NA	1	1
regulation of peptidyl-tyrosine phosphorylation	NA	NA	0.0322741816570606	NA	NA	1	1
regulation of smooth muscle cell differentiation	NA	NA	0.0323015379266769	NA	NA	1	1
catecholamine transport	NA	NA	0.0323015379266769	NA	NA	1	1
neuron projection guidance	NA	NA	0.0323015379266769	NA	NA	1	1
cellular response to external stimulus	NA	NA	0.0323391635146047	NA	NA	1	1
MAPK cascade	NA	NA	0.0323391635146047	NA	NA	1	1
neuron differentiation	NA	NA	0.0323391635146047	NA	NA	1	1
regulation of dopamine secretion	NA	NA	0.0323391635146047	NA	NA	1	1
negative regulation of oligodendrocyte differentiation	NA	NA	0.0323391635146047	NA	NA	1	1
extracellular matrix constituent secretion	NA	NA	0.0323391635146047	NA	NA	1	1
urogenital system development	NA	NA	0.0323391635146047	NA	NA	1	1
animal organ formation	NA	NA	0.0323391635146047	NA	NA	1	1
embryonic organ morphogenesis	NA	NA	0.0324710145394195	NA	NA	1	1
generation of neurons	NA	NA	0.0339181947462007	NA	NA	1	1
positive regulation of leukocyte chemotaxis	NA	NA	0.0341769963622863	NA	NA	1	1
muscle cell proliferation	NA	NA	0.0343305672415791	NA	NA	1	1
response to growth factor	NA	NA	0.0345043913486062	NA	NA	1	1
regulation of BMP signaling pathway	NA	NA	0.0346478384438087	NA	NA	1	1
response to retinoic acid	NA	NA	0.0346478384438087	NA	NA	1	1
response to leukemia inhibitory factor	NA	NA	0.0346478384438087	NA	NA	1	1
prostate gland development	NA	NA	0.0348499222882097	NA	NA	1	1
positive regulation of chemotaxis	NA	NA	0.0351803200427337	NA	NA	1	1
negative regulation of cell communication	NA	NA	0.0355639106337763	NA	NA	1	1
positive regulation of neurogenesis	NA	NA	0.0359813411485235	NA	NA	1	1
cellular response to growth factor stimulus	NA	NA	0.0365654658540534	NA	NA	1	1
negative regulation of signaling	NA	NA	0.0371201436345092	NA	NA	1	1
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	NA	NA	0.0377112872199765	NA	NA	1	1
positive regulation of epithelial cell differentiation	NA	NA	0.0377191084677253	NA	NA	1	1
muscle tissue morphogenesis	NA	NA	0.0377191084677253	NA	NA	1	1
ureteric bud morphogenesis	NA	NA	0.0377191084677253	NA	NA	1	1
negative regulation of cell-cell adhesion	NA	NA	0.0383393057246283	NA	NA	1	1
ventricular septum morphogenesis	NA	NA	0.0383393057246283	NA	NA	1	1
stem cell development	NA	NA	0.0383393057246283	NA	NA	1	1
regulation of ossification	NA	NA	0.0383393057246283	NA	NA	1	1
regulation of biological quality	NA	NA	0.0383393057246283	NA	NA	1	1
secretion	NA	NA	0.0383393057246283	NA	NA	1	1
negative regulation of epithelial cell proliferation	NA	NA	0.0383393057246283	NA	NA	1	1
leukocyte activation involved in immune response	NA	NA	0.0390202814509555	NA	NA	1	1
JNK cascade	NA	NA	0.0390202814509555	NA	NA	1	1
defense response to tumor cell	NA	NA	0.0390202814509555	NA	NA	1	1
cardioblast differentiation	NA	NA	0.0390202814509555	NA	NA	1	1
venous blood vessel development	NA	NA	0.0390202814509555	NA	NA	1	1
cellular response to gonadotropin stimulus	NA	NA	0.0390202814509555	NA	NA	1	1
vascular associated smooth muscle cell development	NA	NA	0.0390202814509555	NA	NA	1	1
metanephros morphogenesis	NA	NA	0.0390202814509555	NA	NA	1	1
catecholamine secretion	NA	NA	0.0390202814509555	NA	NA	1	1
trabecula formation	NA	NA	0.0390202814509555	NA	NA	1	1
hair follicle development	NA	NA	0.040008748025359	NA	NA	1	1
cellular response to chemical stimulus	NA	NA	0.0400606805776912	NA	NA	1	1
response to cytokine	NA	NA	0.040446377974879	NA	NA	1	1
cell junction assembly	NA	NA	0.0405321113434535	NA	NA	1	1
exocrine system development	NA	NA	0.0409517251048179	NA	NA	1	1
positive regulation of calcium-mediated signaling	NA	NA	0.0409517251048179	NA	NA	1	1
negative regulation of protein modification by small protein conjugation or removal	NA	NA	0.041991735221331	NA	NA	1	1
vasculogenesis	NA	NA	0.0422034886135873	NA	NA	1	1
regulation of phagocytosis	NA	NA	0.0422034886135873	NA	NA	1	1
regulation of biomineral tissue development	NA	NA	0.0422034886135873	NA	NA	1	1
regulation of stem cell differentiation	NA	NA	0.0422034886135873	NA	NA	1	1
negative regulation of neuron differentiation	NA	NA	0.0422034886135873	NA	NA	1	1
regulation of cartilage development	NA	NA	0.0422034886135873	NA	NA	1	1
cell activation involved in immune response	NA	NA	0.0431641022035326	NA	NA	1	1
reproductive structure development	NA	NA	0.0431641022035326	NA	NA	1	1
myeloid leukocyte migration	NA	NA	0.0431641022035326	NA	NA	1	1
positive regulation of neuroblast proliferation	NA	NA	0.0437657456295537	NA	NA	1	1
embryonic eye morphogenesis	NA	NA	0.0437657456295537	NA	NA	1	1
cell fate commitment involved in formation of primary germ layer	NA	NA	0.0437657456295537	NA	NA	1	1
negative regulation of signal transduction	NA	NA	0.0437657456295537	NA	NA	1	1
endocardial cushion development	NA	NA	0.0442395227302298	NA	NA	1	1
negative chemotaxis	NA	NA	0.0442395227302298	NA	NA	1	1
collagen fibril organization	NA	NA	0.0450765514297806	NA	NA	1	1
negative regulation of muscle cell differentiation	NA	NA	0.0450765514297806	NA	NA	1	1
leukocyte differentiation	NA	NA	0.0450782852749879	NA	NA	1	1
regulation of cytokine production	NA	NA	0.0450782852749879	NA	NA	1	1
positive regulation of phosphorylation	NA	NA	0.0456438526389458	NA	NA	1	1
peptidyl-tyrosine phosphorylation	NA	NA	0.045960257250568	NA	NA	1	1
response to BMP	NA	NA	0.045960257250568	NA	NA	1	1
cellular response to BMP stimulus	NA	NA	0.045960257250568	NA	NA	1	1
cell projection organization	NA	NA	0.045960257250568	NA	NA	1	1
ovulation	NA	NA	0.045960257250568	NA	NA	1	1
positive regulation of astrocyte differentiation	NA	NA	0.045960257250568	NA	NA	1	1
bone trabecula morphogenesis	NA	NA	0.045960257250568	NA	NA	1	1
positive regulation of tumor necrosis factor-mediated signaling pathway	NA	NA	0.045960257250568	NA	NA	1	1
reproductive system development	NA	NA	0.045960257250568	NA	NA	1	1
regulation of transport	NA	NA	0.045960257250568	NA	NA	1	1
molting cycle process	NA	NA	0.045960257250568	NA	NA	1	1
hair cycle process	NA	NA	0.045960257250568	NA	NA	1	1
sensory organ development	NA	NA	0.0462290813206782	NA	NA	1	1
odontogenesis	NA	NA	0.0465132369540247	NA	NA	1	1
eye photoreceptor cell differentiation	NA	NA	0.0465132369540247	NA	NA	1	1
dorsal/ventral pattern formation	NA	NA	0.0465132369540247	NA	NA	1	1
photoreceptor cell differentiation	NA	NA	0.0465132369540247	NA	NA	1	1
regulation of phosphate metabolic process	NA	NA	0.0465132369540247	NA	NA	1	1
regulation of angiogenesis	NA	NA	0.0465132369540247	NA	NA	1	1
regulation of body fluid levels	NA	NA	0.0465132369540247	NA	NA	1	1
regulation of protein-containing complex assembly	NA	NA	0.0465132369540247	NA	NA	1	1
cell junction organization	NA	NA	0.0465132369540247	NA	NA	1	1
regulation of phosphorus metabolic process	NA	NA	0.0465132369540247	NA	NA	1	1
response to peptide	NA	NA	0.0465132369540247	NA	NA	1	1
regulation of muscle contraction	NA	NA	0.0465132369540247	NA	NA	1	1
positive regulation of lamellipodium assembly	NA	NA	0.0465132369540247	NA	NA	1	1
negative regulation of protein processing	NA	NA	0.0465132369540247	NA	NA	1	1
vascular associated smooth muscle cell differentiation	NA	NA	0.0465132369540247	NA	NA	1	1
regulation of hair cycle	NA	NA	0.0465132369540247	NA	NA	1	1
ligand-gated ion channel signaling pathway	NA	NA	0.0465132369540247	NA	NA	1	1
sensory organ morphogenesis	NA	NA	0.047060450670732	NA	NA	1	1
peptidyl-tyrosine modification	NA	NA	0.0470662899044829	NA	NA	1	1
bone development	NA	NA	0.0470662899044829	NA	NA	1	1
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	NA	NA	0.0470662899044829	NA	NA	1	1
negative regulation of post-translational protein modification	NA	NA	0.0478470370152889	NA	NA	1	1
gland development	NA	NA	0.0484308848810587	NA	NA	1	1
regulation of phosphorylation	NA	NA	0.0485045293342177	NA	NA	1	1
regulation of canonical Wnt signaling pathway	NA	NA	0.0485045293342177	NA	NA	1	1
muscle organ morphogenesis	NA	NA	0.048719681227747	NA	NA	1	1
negative regulation of DNA-templated transcription	NA	NA	0.0495614938483282	NA	NA	1	1
amino sugar metabolic process	NA	NA	0.0495614938483282	NA	NA	1	1
neural crest cell differentiation	NA	NA	0.0497426828085642	NA	NA	1	1
regulation of vasculature development	NA	NA	0.0498564487843947	NA	NA	1	1
