Description	NES_A549	NES_Calu-3	NES_HepG2	NES_U937	p.adjust_A549	p.adjust_Calu-3	p.adjust_HepG2	p.adjust_U937
secretion by cell	1.79491555058668	2.63432317631529	-1.92286461672661	1.79840006515903	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
secretion	1.78967509002829	2.60864007387907	-1.83000845722432	1.72874141090198	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
cell-cell adhesion	1.78516102574329	2.68934790170857	-1.90097931789815	1.6604360425735	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
tube morphogenesis	1.78404084661916	2.71812336043714	-1.88481403956988	1.87175730883005	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
developmental process involved in reproduction	1.77769427440883	1.78912314936962	-1.51703376444162	1.46476302122637	1.04536256323777e-09	6.64354322305229e-10	2.139703785475e-05	1.74527863357007e-06
lipid biosynthetic process	1.77461089722797	2.73785058980583	NA	1.74924443987793	1.04536256323777e-09	6.64354322305229e-10	NA	1.2732421875e-09
monoatomic cation transport	1.76218230088714	2.12199483252115	-1.36987201659336	1.56241966191308	1.04536256323777e-09	6.64354322305229e-10	0.00145200572724229	3.91475621427318e-09
cell junction organization	1.75936712949501	2.57764323040713	-1.72971496148018	1.85176722474574	1.04536256323777e-09	6.64354322305229e-10	6.14925178478713e-09	1.2732421875e-09
monoatomic cation transmembrane transport	1.73998790090425	2.04631070967022	-1.34709343169251	1.5183634006681	1.04536256323777e-09	6.64354322305229e-10	0.00765509227484686	5.64410666405501e-07
cell morphogenesis	1.73762381521756	2.5921183244155	-1.8610310200918	2.02340841727956	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
circulatory system development	1.7341529431716	2.53942034315557	-1.78851382252436	1.91462618995506	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
animal organ morphogenesis	1.73316082141498	2.67373026456953	-1.93393220256514	1.62597835720133	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
inorganic cation transmembrane transport	1.7275188821124	1.99452456292647	-1.32641781304904	1.50914322123363	1.04536256323777e-09	6.64354322305229e-10	0.0162203420025205	7.57029190158134e-07
export from cell	1.7249022908151	2.5746076470556	-1.83927639058184	1.80025982377482	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
negative regulation of developmental process	1.71321576975548	2.44671820110683	-1.93661374053815	1.77365777524806	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
monoatomic ion transport	1.70794014833681	2.17241728397152	-1.36555865469235	1.54421900863965	1.04536256323777e-09	6.64354322305229e-10	0.000682386913529929	1.2732421875e-09
lipid metabolic process	1.70550714509002	2.72986822500366	NA	1.56777517322863	1.04536256323777e-09	6.64354322305229e-10	NA	1.2732421875e-09
monoatomic ion transmembrane transport	1.70478144994771	2.09511490225496	-1.37583047745582	1.50859641255863	1.04536256323777e-09	6.64354322305229e-10	0.00190082006906221	1.36081785358592e-07
chemical homeostasis	1.69407090307236	2.58492459790285	-1.35604199817949	1.61321073061307	1.04536256323777e-09	6.64354322305229e-10	0.0020987543733929	1.2732421875e-09
carboxylic acid metabolic process	1.65044400449972	2.57976828332959	NA	1.53884129090928	1.04536256323777e-09	6.64354322305229e-10	NA	1.29878756012755e-07
inorganic ion transmembrane transport	1.64668128886234	1.99445194565192	-1.34905357388414	1.47696255788352	1.04536256323777e-09	6.64354322305229e-10	0.0052603805437884	2.10878499425907e-06
oxoacid metabolic process	1.6380319239891	2.56372655460868	-1.22964116005989	1.53351325284861	1.04536256323777e-09	6.64354322305229e-10	0.0412377482812465	1.81326129286225e-07
organic acid metabolic process	1.63467359408866	2.56297897231733	-1.22371023962452	1.53102245161372	1.04536256323777e-09	6.64354322305229e-10	0.0445346023528235	1.32069471915105e-07
NADH dehydrogenase complex assembly	2.75235080403047	1.76639690463231	NA	1.96761679925383	1.04807256136926e-09	0.00330012853856285	NA	0.000109606164190809
mitochondrial respiratory chain complex I assembly	2.75235080403047	1.76639690463231	NA	1.96761679925383	1.04807256136926e-09	0.00330012853856285	NA	0.000109606164190809
detection of stimulus	-2.05121331630959	-1.7097148952155	NA	-1.20973998615799	1.05041856633179e-09	7.85262092574068e-05	NA	0.0283429637986575
epithelial cell proliferation	1.92682580828276	2.73490524314787	-1.57628890535683	1.71256306223639	1.05041856633179e-09	6.64354322305229e-10	0.000502511983385472	2.48783807186817e-07
positive regulation of cell development	1.90407963032461	2.52838470027303	-1.98208846467439	1.93792705925226	1.07736479059871e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
positive regulation of DNA-templated transcription initiation	2.66154684385015	2.0189871448093	NA	2.04522723690334	1.12780331008904e-09	5.02847054535141e-05	NA	1.09995334017665e-05
positive regulation of DNA-templated transcription, elongation	2.76366957627381	1.99959517220018	NA	2.28822129730101	1.14633709948494e-09	0.000182321415353557	NA	1.97530715349617e-07
regulation of ubiquitin-dependent protein catabolic process	2.31538215757484	2.39829994203436	-1.52707263413086	1.94869759922721	1.15875770362787e-09	6.64354322305229e-10	0.010822194648797	1.37236651537588e-06
positive regulation of leukocyte activation	2.00131611502123	2.67625001186576	-1.76070631707533	1.92134402752732	1.17654332163795e-09	6.64354322305229e-10	6.82957063620938e-06	1.2732421875e-09
response to lipopolysaccharide	2.04899640637276	2.31177893348755	-1.53838194564019	1.74778824473663	1.22151672982649e-09	6.64354322305229e-10	0.00531031103458454	1.13484030619854e-06
regulation of actin filament organization	2.08487458775018	2.32074561291548	-1.79911885433954	1.91977817965431	1.23115626521167e-09	6.64354322305229e-10	2.26935834348476e-05	1.98650045994328e-08
regulation of immune effector process	2.00424628929089	2.54815059532729	-1.68316914866834	1.75858593078384	1.30106857767149e-09	6.64354322305229e-10	9.52969569696726e-05	1.5875691419135e-07
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2.1138473285142	2.50842289900245	-1.94346333945378	1.83677137328157	1.32195718697491e-09	6.64354322305229e-10	1.41560876522747e-07	5.749697248623e-07
cellular response to type I interferon	2.64161192423615	2.71325001853074	-1.66611089427888	1.59903632994594	1.35655602422517e-09	6.64354322305229e-10	0.0194762975580057	0.0148739718361201
positive regulation of cell activation	1.99485936306149	2.6896451438271	-1.78451998831959	1.92801550544232	1.42181624890196e-09	6.64354322305229e-10	6.17778806680925e-06	1.2732421875e-09
interferon-mediated signaling pathway	2.58399258982403	2.63552143671452	-1.5632687062042	NA	1.46689615112115e-09	6.64354322305229e-10	0.016999916095645	NA
negative regulation of mRNA metabolic process	2.50811949840695	2.30143308705861	NA	1.91369783143636	1.50125304890425e-09	1.68127566995503e-07	NA	6.75703042232357e-05
type I interferon-mediated signaling pathway	2.62672243914217	2.74390548816333	-1.6873208443961	1.61912761631123	1.51361767099453e-09	6.64354322305229e-10	0.0131012187088906	0.011002318203292
response to unfolded protein	2.36707111906841	2.6939570316707	-1.97814220351425	1.70882513125533	1.52833451503651e-09	6.64354322305229e-10	5.50471860416378e-06	0.000590090652358622
carbohydrate derivative catabolic process	2.15421759504986	2.54208074085971	-1.85537429865184	1.7701204595788	1.52833451503651e-09	6.64354322305229e-10	3.81709205957068e-06	5.83228139579092e-06
positive regulation of double-strand break repair	2.57799823311911	1.7241101750611	NA	2.09764294185156	1.55259702365174e-09	0.0023357924674424	NA	8.71293624920819e-07
negative regulation of locomotion	2.03025448092972	2.30303969024789	-1.8961942117496	1.68794787450785	1.66211535577317e-09	6.64354322305229e-10	1.59936191514836e-07	6.83157905283175e-06
regulation of DNA-templated DNA replication	2.73917271449734	NA	NA	1.83757751234725	1.66642754050119e-09	NA	NA	0.00129482612158942
regulation of nucleocytoplasmic transport	2.42344011004838	2.12403314716638	NA	2.1907939149342	1.66642754050119e-09	2.80374447918965e-06	NA	1.1100293604965e-08
positive regulation of cell-cell adhesion	2.02516289034461	2.80857612756241	-1.82218040190323	1.90093062565424	1.69994209366479e-09	6.64354322305229e-10	3.81709205957068e-06	3.68448141108632e-09
macromolecule methylation	2.45553414393297	1.97506838473001	-1.42903699879461	2.18515681053629	1.74836289945248e-09	1.76752554313905e-05	0.0389908206575613	6.34777752577345e-09
negative regulation of innate immune response	2.59127402137071	2.20148745125876	NA	1.63824376276064	1.75765036292368e-09	4.49807316900308e-06	NA	0.0119995031108104
negative regulation of cell migration	2.10329987139922	2.3120221282468	-1.88968185125171	1.64103352605482	1.92806325121039e-09	6.64354322305229e-10	7.18558837251167e-07	5.3792495562885e-05
regulation of viral genome replication	2.5482933118306	2.24939547313326	NA	1.49987972626335	1.94135132433659e-09	1.7975084451262e-06	NA	0.0283752816678091
regulation of type I interferon-mediated signaling pathway	2.76998174034185	2.49068192608755	-1.6892696275258	1.607260272969	1.97515769449528e-09	3.9015493036426e-07	0.0202354747380806	0.0174782491112863
plasma membrane organization	2.327467425303	2.3133179287244	-1.7336429218203	NA	1.98816142252076e-09	5.4748147568808e-09	0.000711055051972242	NA
response to peptide hormone	1.90099167751958	2.70324303979361	-1.4365577433518	2.06072179122742	1.99201515206771e-09	6.64354322305229e-10	0.00464482558391486	1.2732421875e-09
regulation of mitotic spindle organization	2.81159100432462	1.82380951641641	-1.61360517438951	1.89255155496814	2.16233153175393e-09	0.00404977842731397	0.025393132914388	0.000521153195514009
telomere maintenance via telomere lengthening	2.59379171981302	1.510636153287	NA	2.04653463093858	2.17445680435934e-09	0.0248706729055258	NA	2.36193899448713e-05
positive regulation of autophagy	2.3085908421033	2.80548818114494	-1.79707754861522	1.75210309387147	2.50981964334988e-09	6.64354322305229e-10	0.000110330277971622	0.00015767101167381
regulation of proteasomal ubiquitin-dependent protein catabolic process	2.36779700812219	2.40111397570332	NA	1.95219540677252	2.53199689007691e-09	1.49078478374132e-09	NA	6.27797878550355e-06
intracellular chemical homeostasis	1.70156991017578	2.43590895309705	-1.43386289780962	1.64093902990504	2.67993411221247e-09	6.64354322305229e-10	0.00158946966575956	1.29155008355936e-08
hemostasis	2.17234845989475	2.39098384697805	-1.69811480536151	1.81773920369782	2.83309282096405e-09	6.64354322305229e-10	0.000283541526617295	1.84699636120476e-06
response to molecule of bacterial origin	2.03176283033817	2.34874218229961	-1.60217894938102	1.76291004491011	2.87722599257304e-09	6.64354322305229e-10	0.000518983939103916	2.66958732572073e-07
cellular response to biotic stimulus	2.16114751660734	2.5585595736139	-1.6666548845239	1.99730888693938	3.09865071929795e-09	6.64354322305229e-10	0.00119268520002653	1.2732421875e-09
vesicle fusion	2.38261753779207	2.51902864540053	-1.79527022303574	1.66178616407065	3.13144359605184e-09	6.64354322305229e-10	0.000339746868705746	0.00175225296859666
nuclear receptor-mediated signaling pathway	2.2737915177062	2.27008816584494	-1.56792417109493	1.87429614446722	3.20028964094981e-09	6.68729319179808e-09	0.00682875395786668	1.77050381189226e-06
intrinsic apoptotic signaling pathway in response to oxidative stress	2.70621629388344	1.97582386321262	NA	NA	3.20847237314659e-09	0.000250958243003389	NA	NA
regulation of DNA-templated transcription initiation	2.56936501654316	2.02145091937712	NA	2.07158441322012	3.22135871725089e-09	7.43485114554434e-05	NA	4.22166439712013e-06
mitochondrial electron transport, NADH to ubiquinone	2.74152813470152	2.09346458371677	NA	1.7441258936944	3.22841450645398e-09	0.000107290580945317	NA	0.00346511522199043
regulation of endocytosis	2.07217082568115	2.28355012846245	-1.65764077387768	1.95951405876396	3.6176903015546e-09	6.64354322305229e-10	0.000437358587504866	1.2732421875e-09
adaptive immune response	1.89059555851098	2.4650467346063	-1.52150774813579	1.73181451609312	3.81784290037617e-09	6.64354322305229e-10	0.00153390848164684	1.16203609474551e-08
hormone-mediated signaling pathway	2.194885091524	2.1931620843254	-1.58342660274687	1.83980977927961	3.96027753352981e-09	5.95831698052948e-09	0.0052866474944408	2.99603017715198e-06
regulation of double-strand break repair via homologous recombination	2.54070725318054	NA	NA	1.90856185793936	3.99258154607123e-09	NA	NA	0.000125834257238038
organelle fusion	2.28208216536568	2.72929689655567	-1.77209251179782	1.65528644148056	4.18984971856539e-09	6.64354322305229e-10	0.000178288805406446	0.000386068067033913
intracellular monoatomic ion homeostasis	1.81035797709182	2.29010148066532	NA	1.52800700703762	4.22418702069308e-09	6.64354322305229e-10	NA	6.74221818464215e-05
lysosomal transport	2.39441823276664	2.40414806865625	-2.01499746501466	1.73060486966909	4.23083162106591e-09	1.37334293536227e-09	3.48391434640916e-06	0.000315498624841714
peptidyl-lysine modification	2.31675756119784	2.15048051199892	NA	2.05685041457634	4.32365097108803e-09	2.56543091109323e-07	NA	4.63561318972324e-07
cellular response to radiation	2.28506969743299	1.77621347730917	-1.39607223246316	1.50460057298848	4.32486757669415e-09	0.000162792775324802	0.0404701622790195	0.0124570611210783
cell chemotaxis	2.07614717390969	2.46825430198011	-1.71721581386595	1.96517154764791	4.33186021210365e-09	6.64354322305229e-10	0.000168835495309592	1.2732421875e-09
cytoskeleton-dependent intracellular transport	2.18770550452281	1.9226306882984	-1.57938923889526	2.07766333836425	4.4077807511243e-09	2.50062327449654e-06	0.00256886647314748	1.78848486872911e-09
positive regulation of cytoskeleton organization	2.21412961990203	2.11434709500079	-1.76817471649876	1.82065557430285	5.00541394375795e-09	1.7725024349236e-07	0.00022695467028971	1.71351536486674e-05
nucleosome assembly	-2.34618473210199	-3.34948302257089	NA	NA	5.23927550441782e-09	6.64354322305229e-10	NA	NA
response to light stimulus	2.01530101523945	1.76018115858121	-1.40584578932693	1.7512342369428	5.2424707887692e-09	1.45604025552037e-05	0.0203550251027636	6.6817004645272e-07
transforming growth factor beta receptor superfamily signaling pathway	1.93623148305155	2.50049027536829	-1.9577200886946	1.77764561027843	5.54995871712207e-09	6.64354322305229e-10	3.67402786343149e-09	4.02183855141612e-07
positive regulation of intracellular protein transport	2.48989581396114	2.15147396462403	NA	1.95976642283652	5.67846852146899e-09	7.30427416350951e-06	NA	4.08743155802885e-05
ameboidal-type cell migration	2.14009808016892	2.67414170106363	-1.87056953409544	1.95349012961	5.99993985010886e-09	6.64354322305229e-10	7.14652713956495e-06	1.61819907051853e-08
organelle membrane fusion	2.36021259113738	2.54970351817361	-1.80371021150529	1.65408896370961	6.13735070506764e-09	6.64354322305229e-10	0.000650941075265251	0.00316995413065535
nuclear DNA replication	2.74722355085824	NA	NA	1.92473448188972	6.72666246463573e-09	NA	NA	0.000321559802029895
telomere organization	2.13110571040564	-1.93478853831582	-1.5178910525125	2.09859335001968	7.0418117211316e-09	4.88503713471691e-06	0.0065117855473024	3.08741825659387e-09
positive regulation of peptidase activity	2.29935245911504	2.70176021380491	-1.80836376028919	1.61537573037859	7.09947954529638e-09	6.64354322305229e-10	0.000187658943210038	0.00522918560064285
erythrocyte homeostasis	2.26627095277987	2.33010191248557	-1.52958689315795	2.08537967581196	7.23707174375817e-09	6.64354322305229e-10	0.0148351833990672	5.83628357437994e-08
actin polymerization or depolymerization	2.17193732032784	2.24045635517613	-1.69788606411447	1.93702548652232	7.59022030479738e-09	1.10432115487445e-09	0.000730524741837384	2.24455529579627e-07
myeloid leukocyte migration	2.18563255217741	2.3237295670732	NA	1.87337411603898	7.67935920915798e-09	6.64354322305229e-10	NA	3.34913763939033e-07
negative regulation of cell adhesion	2.05985963330907	2.62911872577886	-1.75199609540151	1.73281441311305	7.84988418434522e-09	6.64354322305229e-10	4.25521892372324e-05	4.95253769799932e-06
immune response-activating cell surface receptor signaling pathway	2.05646305876605	2.27736763705982	-1.52247082922857	2.03055086994748	7.87632570204632e-09	6.64354322305229e-10	0.00452373721646216	1.2732421875e-09
intracellular monoatomic cation homeostasis	1.8292221655595	2.30140961126502	NA	1.51705542780144	8.9044834772029e-09	6.64354322305229e-10	NA	8.49808505008902e-05
positive regulation of proteolysis involved in protein catabolic process	2.33594808437321	2.26390051446019	-1.82727723534038	1.75433942599477	8.91338750684978e-09	2.56752322123106e-08	0.000176296050297824	0.000397122240769283
platelet activation	2.33653309305872	2.38251423974902	-2.04496779803343	1.79697541464604	9.23817449538396e-09	2.30829752108992e-09	2.34704370499243e-06	0.000170131256239523
positive regulation of proteasomal protein catabolic process	2.37773146270728	2.27586832164039	-1.78438444322223	1.77458651365382	9.37413108444943e-09	3.21723041433432e-08	0.000712904671172493	0.000428920763149224
cell-substrate adhesion	1.89665186863698	2.53508862372093	-1.87883016939408	1.78900892087527	9.83643026400687e-09	6.64354322305229e-10	7.06623347956179e-08	1.92126653280338e-07
RNA polymerase II preinitiation complex assembly	2.66278573251388	2.08689250255581	-1.55354878799873	1.94618310153379	1.01106022680234e-08	0.000115819000962417	0.0369763158946564	0.000162338441254701
tissue morphogenesis	1.71916412170353	2.7261926643852	-2.02656139475056	1.72668318703668	1.0222752380933e-08	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
regulation of neuron projection development	1.81173253430856	2.59282971850168	-1.7755513870759	1.99161956714851	1.02491215810342e-08	6.64354322305229e-10	6.4078810019381e-07	1.2732421875e-09
myeloid cell homeostasis	2.20266186842367	2.34518777379954	-1.50753040873102	2.06640142377611	1.03602875059237e-08	6.64354322305229e-10	0.0158884458685707	2.47846721876064e-08
response to bacterium	1.73628298305965	2.16217782157094	-1.61819844686563	1.6482889399448	1.04452786411183e-08	6.64354322305229e-10	1.2072644810615e-05	3.52382170972857e-08
cell projection assembly	1.72456512705603	1.58809159007696	-1.52871153103306	1.68256959034328	1.08070242658269e-08	9.26157900722797e-06	6.51684500927427e-05	8.09853857217918e-09
coagulation	2.14462609600044	2.3357544579029	-1.75699919504762	1.74889921259288	1.09848713420091e-08	6.64354322305229e-10	6.65757950860065e-05	2.12447373953914e-05
leukocyte mediated immunity	1.90656342425998	2.41808916502433	-1.52181150229642	1.74559428378121	1.11615058650885e-08	6.64354322305229e-10	0.00170951689934676	9.88273028084947e-08
regulation of mitotic sister chromatid segregation	2.64603101610345	NA	NA	2.02271249486291	1.14174765634222e-08	NA	NA	9.9838233786397e-05
positive regulation of transcription initiation by RNA polymerase II	2.61256476909243	2.07044532249212	NA	2.00309714127617	1.25706588232734e-08	5.40446621036754e-05	NA	7.88487163494438e-05
positive regulation of cellular catabolic process	2.09744722167961	2.79085850013657	-1.75304126710969	1.81883268626081	1.35071743510276e-08	6.64354322305229e-10	0.00011877930499818	2.08625174430509e-06
regulation of cysteine-type endopeptidase activity	2.26871189598833	2.66292206566394	-1.52102609809809	1.60655453074929	1.41550442514177e-08	6.64354322305229e-10	0.0143045355841199	0.00254351661517395
'de novo' post-translational protein folding	2.71939470471532	2.10718203984667	-2.23290285574264	1.69762901489508	1.4336489837751e-08	0.000115262422576711	6.38224606622248e-06	0.007062393586444
response to insulin	2.01560156186995	2.70318324990016	-1.53668759258271	2.07096476686057	1.43368296933615e-08	6.64354322305229e-10	0.00315668434891294	1.2732421875e-09
glycoprotein biosynthetic process	1.99002281732395	2.77762379849113	-1.81389736505364	1.69290221155775	1.43791494119503e-08	6.64354322305229e-10	1.42885539933547e-06	6.98150996965243e-06
mitochondrial transmembrane transport	2.41456275653164	2.39069679893942	NA	1.6923137994405	1.44290605683001e-08	7.502915595977e-09	NA	0.00246765371982916
positive regulation of extrinsic apoptotic signaling pathway	2.62709624734254	2.12396605640566	-1.76517168671562	NA	1.44926347464046e-08	5.48683009073667e-05	0.00849723679241061	NA
receptor-mediated endocytosis	2.03077125206899	2.22948163772486	-1.81052868346152	1.92925772671554	1.58226110100224e-08	6.64354322305229e-10	2.83136644012156e-05	1.37990378124999e-08
cellular response to heat	2.58352773440425	1.53210132385128	-1.68399698196654	1.81324435864722	1.584965613924e-08	0.0208025157419642	0.0114703265234006	0.000789935771256181
negative regulation of megakaryocyte differentiation	-2.50477386397753	-2.7551091304078	NA	NA	1.59574031251708e-08	6.64354322305229e-10	NA	NA
positive regulation of binding	2.40436932448259	2.35740156978602	NA	1.8143890395265	1.63248467721383e-08	1.58932832562791e-08	NA	0.000235957899116131
positive regulation of protein ubiquitination	2.3801829038514	2.07496767489649	-1.53595498230688	1.6966952712395	1.63248467721383e-08	4.63462575100258e-06	0.0239299260649788	0.0016268027277178
monoatomic ion homeostasis	1.73393163793289	2.34139339261619	NA	1.55044203973031	1.68378049296583e-08	6.64354322305229e-10	NA	6.97283281120563e-06
cell cycle DNA replication	2.69632110915754	NA	NA	1.98365358092802	1.69530493191737e-08	NA	NA	0.000334244605733398
cellular response to UV	2.44365913262136	2.0397628294684	NA	1.76206901984264	1.69530493191737e-08	3.90654084421927e-05	NA	0.00104062763789821
nuclear envelope organization	2.64242503467849	2.08622144603342	NA	1.90625349094735	1.7606450397928e-08	3.93327497475303e-05	NA	0.000375559170107095
transcription preinitiation complex assembly	2.53722460188461	2.09972872905023	NA	2.03196832315495	1.79445096385415e-08	3.01480952156432e-05	NA	3.05541973748703e-05
negative regulation of response to cytokine stimulus	2.46405970597851	1.90866804927134	-1.65067832369883	1.59902102355844	1.79445096385415e-08	0.000462546127223943	0.013217903372211	0.0111377969977199
intrinsic apoptotic signaling pathway in response to DNA damage	2.38474027433272	2.18804697182406	NA	1.82668208679342	1.79445096385415e-08	3.59413429639199e-07	NA	0.000306770715153667
regulation of angiogenesis	2.01286509123034	2.57175779399402	-1.66242718210215	2.01326770793446	1.8329443719175e-08	6.64354322305229e-10	0.000572118038325704	1.2732421875e-09
regulation of transcription initiation by RNA polymerase II	2.51336771452086	2.04039568740008	NA	2.08200350237512	1.84491128229022e-08	6.98931488112353e-05	NA	1.22609539317277e-05
meiotic cell cycle process	2.15708628398404	NA	NA	1.48796843024975	1.84491128229022e-08	NA	NA	0.00523789995645593
negative regulation of chromosome segregation	2.61107728477372	NA	NA	1.98590832732124	1.85198610613031e-08	NA	NA	6.28709704843271e-05
negative regulation of mitotic nuclear division	2.60498852135742	NA	NA	2.03805269858438	1.86542627544869e-08	NA	NA	4.44074028497052e-05
chemotaxis	1.85614789252263	2.4730553953346	-1.83426226333759	1.97189158773008	1.97800666425153e-08	6.64354322305229e-10	3.31380628809404e-07	1.2732421875e-09
taxis	1.85614789252263	2.4730553953346	-1.83426226333759	1.95289098723979	1.97800666425153e-08	6.64354322305229e-10	3.31380628809404e-07	1.2732421875e-09
positive regulation of leukocyte cell-cell adhesion	2.08716270814388	2.74480375215222	-1.9084639413648	1.89752429417526	2.01095516640021e-08	6.64354322305229e-10	1.57191146219171e-06	3.37010388378826e-08
neuron apoptotic process	1.97307153457745	2.4937985437964	-1.61337816959842	1.7594781083213	2.01172668174966e-08	6.64354322305229e-10	0.000422845576792197	2.04279798513746e-06
myeloid cell differentiation	1.80674718681717	2.10461840710029	-1.93404566501357	2.01398020667458	2.03041667292936e-08	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
monoatomic cation homeostasis	1.73467944055766	2.37303956544974	NA	1.54951741532909	2.09091780581799e-08	6.64354322305229e-10	NA	1.20617278837417e-05
cellular lipid metabolic process	1.55840028196801	2.65947611641744	NA	1.62688538196425	2.17918557796944e-08	6.64354322305229e-10	NA	1.2732421875e-09
positive regulation of NF-kappaB transcription factor activity	2.34676017618398	2.46527128103087	-1.64483310949988	1.9118114550009	2.20187082301632e-08	6.64354322305229e-10	0.007182530682948	3.31401221122587e-05
cellular response to lipopolysaccharide	2.16725529455233	2.44048342841937	-1.5435525352168	1.95930923472973	2.2172666448124e-08	6.64354322305229e-10	0.0136625726390364	9.4001831748345e-08
negative regulation of sister chromatid segregation	2.6374395192194	NA	NA	1.9890285103761	2.30583553148256e-08	NA	NA	4.72908695625583e-05
negative regulation of mitotic sister chromatid segregation	2.6374395192194	NA	NA	1.9890285103761	2.30583553148256e-08	NA	NA	4.72908695625583e-05
negative regulation of mitotic metaphase/anaphase transition	2.6374395192194	NA	NA	1.9890285103761	2.30583553148256e-08	NA	NA	4.72908695625583e-05
negative regulation of mitotic sister chromatid separation	2.6374395192194	NA	NA	1.9890285103761	2.30583553148256e-08	NA	NA	4.72908695625583e-05
membrane biogenesis	2.56083895390721	2.25301852207113	NA	1.77404477905913	2.31218674913341e-08	5.64299530508945e-06	NA	0.00184327273856208
plasma membrane bounded cell projection assembly	1.7102742432773	1.53050945398803	-1.46530090802666	1.68331662446077	2.374020484994e-08	5.0062400772697e-05	0.000496325726360625	1.56633676921171e-08
maintenance of location in cell	2.14936652406123	2.16847682140753	-1.43437720941852	1.61867650590916	2.38050246170732e-08	2.85475153399742e-08	0.0233367173237824	0.000707685632031011
regulation of cell cycle G2/M phase transition	2.30556798373034	NA	NA	2.03970051121052	2.38137284103638e-08	NA	NA	1.37236651537588e-06
regulation of cyclin-dependent protein serine/threonine kinase activity	2.46730540542912	1.81283020944838	NA	NA	2.48300132659631e-08	0.00172048074732521	NA	NA
extrinsic apoptotic signaling pathway via death domain receptors	2.45856947254369	2.43496331237363	-1.68530595975591	1.74852877965301	2.49427569419715e-08	2.93223669890233e-08	0.00985742113107538	0.00171225261772555
positive regulation of DNA biosynthetic process	2.63340243737956	1.51216024141156	NA	1.79693024923331	2.5139119548695e-08	0.0301220228348942	NA	0.00168248544269198
maintenance of protein location in cell	2.57019083120018	1.84152886617697	-1.48454308782996	1.59446855148299	2.73176866434849e-08	0.00164113598165689	0.0474419526401236	0.0104757504284043
negative regulation of metaphase/anaphase transition of cell cycle	2.63165138708653	NA	NA	1.96641907892113	2.75179199632966e-08	NA	NA	0.000136283046060405
negative regulation of chromosome separation	2.63165138708653	NA	NA	1.96641907892113	2.75179199632966e-08	NA	NA	0.000136283046060405
cellular response to oxidative stress	2.07243330697686	2.52140962586358	-1.69744962671342	2.09324280348433	2.76375064592848e-08	6.64354322305229e-10	0.000189296359875627	1.2732421875e-09
lymphocyte differentiation	1.86230563408259	2.37077206722429	-1.88797345497899	1.81302994262632	2.78077927911441e-08	6.64354322305229e-10	3.08134325150237e-08	1.26119293586197e-08
protein export from nucleus	2.62628578204185	1.90054488974872	NA	2.02699588898557	2.80561074320979e-08	0.000683339385959358	NA	3.34837535773373e-05
RNA 5'-end processing	2.66655524773434	1.67804294144583	NA	1.90278370063997	2.82591984479134e-08	0.019189994747076	NA	0.000523664436132891
nucleosome organization	-2.21702024456822	-3.14720718496007	NA	1.61226326791432	2.84687723806424e-08	6.64354322305229e-10	NA	0.00570608962500878
maintenance of cell number	2.1453703201423	2.04498919977868	-1.46894747287912	2.09288518211372	2.883336529755e-08	5.67877992840272e-07	0.0208651449810465	1.2732421875e-09
regulation of leukocyte differentiation	1.95966775478896	2.329625358161	-1.76654299982022	1.9843421979444	2.92523345993128e-08	6.64354322305229e-10	2.03499831266839e-05	1.2732421875e-09
immune response-regulating cell surface receptor signaling pathway	1.96614977837579	2.22681258243247	-1.47978863748034	2.0897664613979	2.93073464230056e-08	6.64354322305229e-10	0.00996112025251187	1.2732421875e-09
response to nutrient levels	1.73188906599054	2.63204129035713	-1.48650473258374	1.7752264916703	3.12523717539392e-08	6.64354322305229e-10	0.000702769392440114	1.28043175463502e-09
antigen processing and presentation	2.37929379323193	2.74646943347968	NA	1.57111682636142	3.16037818705963e-08	6.64354322305229e-10	NA	0.0136751615436226
regulation of cyclin-dependent protein kinase activity	2.47474807224017	1.77214141628937	NA	NA	3.31118500480872e-08	0.00246475887865879	NA	NA
collagen metabolic process	2.41078321410755	2.32604295252956	-2.01470840465722	1.67605620282256	3.43876402870019e-08	1.99015516779702e-07	6.00295991571673e-05	0.0047736495645507
phospholipid metabolic process	1.85798445950113	2.69789259046156	NA	1.72864758623389	3.52862925665426e-08	6.64354322305229e-10	NA	5.79537274250861e-07
positive regulation of supramolecular fiber organization	2.19510544912698	2.29237922744055	-1.7453784449303	1.69518395962714	3.58332650264519e-08	3.93140399217132e-09	0.000387842388052624	0.000311579899977193
