Term	Direction	A549_FDR	Calu3_FDR	HepG2_FDR	U937_FDR	Lines_sig
cellular ketone metabolic process	Up		5.14e-03			1
response to cAMP	Up		5.29e-03			1
developmental growth involved in morphogenesis	Up		5.32e-03			1
skeletal system development	Up		5.36e-03			1
lymphocyte mediated immunity	Up		5.36e-03			1
tumor necrosis factor production	Up		5.47e-03			1
regulation of tumor necrosis factor production	Up		5.47e-03			1
endochondral ossification	Up		5.52e-03			1
replacement ossification	Up		5.52e-03			1
interleukin-1 beta production	Up		5.56e-03			1
regulation of interleukin-1 beta production	Up		5.56e-03			1
regulation of cellular response to growth factor stimulus	Up		5.56e-03			1
type II interferon production	Up		5.56e-03			1
regulation of type II interferon production	Up		5.56e-03			1
positive regulation of interleukin-13 production	Up		5.69e-03			1
negative regulation of multicellular organism growth	Up		5.69e-03			1
regulation of apoptotic process involved in morphogenesis	Up		5.69e-03			1
regulation of apoptotic process involved in development	Up		5.69e-03			1
muscle structure development	Up		5.73e-03			1
cellular response to hormone stimulus	Up		5.84e-03			1
regulation of cysteine-type endopeptidase activity involved in apoptotic process	Up		6.07e-03			1
tumor necrosis factor superfamily cytokine production	Up		6.07e-03			1
regulation of tumor necrosis factor superfamily cytokine production	Up		6.07e-03			1
regulation of leukocyte mediated immunity	Up		6.09e-03			1
negative regulation of interleukin-1 production	Up		6.09e-03			1
cellular response to amino acid stimulus	Up		6.16e-03			1
negative regulation of fat cell differentiation	Up		6.16e-03			1
cell-matrix adhesion	Up		6.27e-03			1
miRNA metabolic process	Up		6.36e-03			1
humoral immune response	Up		6.37e-03			1
gastrulation	Up		6.37e-03			1
regulation of transport	Up		6.49e-03			1
columnar/cuboidal epithelial cell differentiation	Up		6.66e-03			1
regulation of leukocyte proliferation	Up		6.66e-03			1
metanephric nephron development	Up		6.81e-03			1
positive regulation of fatty acid oxidation	Up		6.97e-03			1
endocrine system development	Up		6.99e-03			1
osteoblast differentiation	Up		7.10e-03			1
positive regulation of lymphocyte mediated immunity	Up		7.34e-03			1
antimicrobial humoral response	Down		7.52e-03			1
generation of neurons	Up		7.66e-03			1
response to organophosphorus	Up		7.70e-03			1
glial cell proliferation	Up		7.75e-03			1
endochondral bone morphogenesis	Up		7.75e-03			1
positive regulation of leukocyte chemotaxis	Up		7.76e-03			1
mesoderm development	Up		8.41e-03			1
embryonic skeletal joint development	Up		8.41e-03			1
regulation of postsynaptic specialization assembly	Up		8.41e-03			1
regulation of postsynaptic density organization	Up		8.41e-03			1
positive regulation of neuroblast proliferation	Up		8.41e-03			1
autonomic nervous system development	Up		8.41e-03			1
negative regulation of signal transduction in absence of ligand	Up		8.41e-03			1
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	Up		8.41e-03			1
cellular response to organic cyclic compound	Up		8.47e-03			1
striated muscle tissue development	Up		8.77e-03			1
negative regulation of DNA recombination	Down		8.83e-03			1
cell growth	Up		9.10e-03			1
glycoprotein metabolic process	Up		9.19e-03			1
system process	Up		9.39e-03			1
neural crest cell differentiation	Up		9.64e-03			1
macrophage activation	Up		9.64e-03			1
myeloid leukocyte activation	Up		9.92e-03			1
lymphangiogenesis	Up		9.94e-03			1
interleukin-13 production	Up		9.94e-03			1
regulation of interleukin-13 production	Up		9.94e-03			1
renal vesicle development	Up		9.94e-03			1
regulation of localization	Up		9.94e-03			1
microglial cell activation	Up		1.01e-02			1
homeostasis of number of cells within a tissue	Up		1.01e-02			1
apoptotic process involved in development	Up		1.01e-02			1
positive regulation of morphogenesis of an epithelium	Up		1.01e-02			1
sex differentiation	Up		1.03e-02			1
response to acid chemical	Up		1.03e-02			1
muscle cell proliferation	Up		1.04e-02			1
animal organ formation	Up		1.08e-02			1
cell killing	Up		1.10e-02			1
positive regulation of chemotaxis	Up		1.13e-02			1
neuron differentiation	Up		1.14e-02			1
T cell differentiation	Up		1.14e-02			1
glandular epithelial cell differentiation	Up		1.15e-02			1
leukocyte cell-cell adhesion	Up		1.15e-02			1
regulation of odontogenesis	Up		1.15e-02			1
T-helper 2 cell differentiation	Up		1.15e-02			1
negative regulation of natural killer cell mediated cytotoxicity	Up		1.15e-02			1
positive regulation of branching involved in ureteric bud morphogenesis	Up		1.15e-02			1
regulation of excitatory synapse assembly	Up		1.15e-02			1
regulation of mononuclear cell proliferation	Up		1.17e-02			1
mammary gland development	Up		1.21e-02			1
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	Up		1.21e-02			1
leukocyte activation involved in inflammatory response	Up		1.21e-02			1
negative regulation of type II interferon production	Up		1.21e-02			1
macrophage differentiation	Up		1.21e-02			1
signal transduction in absence of ligand	Up		1.21e-02			1
extrinsic apoptotic signaling pathway in absence of ligand	Up		1.21e-02			1
lymphocyte differentiation	Up		1.27e-02			1
antimicrobial humoral response	Up		1.27e-02			1
hematopoietic or lymphoid organ development	Up		1.27e-02			1
response to oxygen levels	Up		1.28e-02			1
neuroinflammatory response	Up		1.29e-02			1
response to wounding	Up		1.29e-02			1
defense response to Gram-positive bacterium	Down		1.32e-02			1
negative regulation of natural killer cell mediated immunity	Up		1.33e-02			1
response to leptin	Up		1.33e-02			1
cell-substrate adhesion	Up		1.33e-02			1
regulation of leukocyte cell-cell adhesion	Up		1.33e-02			1
regulation of apoptotic signaling pathway	Up		1.37e-02			1
regulation of cell growth	Up		1.40e-02			1
response to cold	Up		1.43e-02			1
cardiac muscle tissue development	Up		1.43e-02			1
cell chemotaxis	Up		1.44e-02			1
regulation of gliogenesis	Up		1.46e-02			1
cell maturation	Up		1.47e-02			1
regulation of small GTPase mediated signal transduction	Up		1.49e-02			1
positive regulation of programmed cell death	Up		1.51e-02			1
negative regulation of growth	Up		1.51e-02			1
cell-cell signaling	Up		1.52e-02			1
Wnt signaling pathway	Up		1.52e-02			1
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	Up		1.52e-02			1
postsynaptic density assembly	Up		1.52e-02			1
positive regulation of leukocyte migration	Up		1.56e-02			1
interleukin-6 production	Up		1.56e-02			1
regulation of interleukin-6 production	Up		1.56e-02			1
regulation of myeloid cell differentiation	Down		1.58e-02			1
positive regulation of lymphocyte activation	Up		1.59e-02			1
positive regulation of canonical NF-kappaB signal transduction	Up		1.59e-02			1
appendage development	Up		1.60e-02			1
limb development	Up		1.60e-02			1
mononuclear cell proliferation	Up		1.61e-02			1
cell junction organization	Up		1.62e-02			1
molting cycle	Up		1.65e-02			1
hair cycle	Up		1.65e-02			1
regulation of sprouting angiogenesis	Up		1.66e-02			1
appendage morphogenesis	Up		1.66e-02			1
limb morphogenesis	Up		1.66e-02			1
regulation of neurogenesis	Up		1.67e-02			1
negative regulation of cell differentiation	Up		1.67e-02			1
positive regulation of gliogenesis	Up		1.69e-02			1
response to peptide hormone	Up		1.70e-02			1
artery development	Up		1.70e-02			1
regulation of animal organ formation	Up		1.70e-02			1
lymph vessel morphogenesis	Up		1.70e-02			1
middle ear morphogenesis	Up		1.70e-02			1
negative regulation of receptor signaling pathway via JAK-STAT	Up		1.70e-02			1
regulation of branching involved in ureteric bud morphogenesis	Up		1.70e-02			1
reproductive structure development	Up		1.71e-02			1
secretion by cell	Up		1.73e-02			1
positive regulation of defense response	Up		1.75e-02			1
interleukin-8 production	Up		1.76e-02			1
regulation of interleukin-8 production	Up		1.76e-02			1
multi-organism reproductive process	Up		1.84e-02			1
reproductive system development	Up		1.84e-02			1
regulation of small molecule metabolic process	Up		1.86e-02			1
regulation of receptor signaling pathway via STAT	Up		1.87e-02			1
myeloid leukocyte differentiation	Up		1.88e-02			1
regulation of T cell mediated cytotoxicity	Up		1.89e-02			1
leukocyte adhesion to vascular endothelial cell	Up		1.89e-02			1
glial cell activation	Up		1.89e-02			1
positive regulation of sprouting angiogenesis	Up		1.91e-02			1
negative regulation of receptor signaling pathway via STAT	Up		1.91e-02			1
cardiac muscle cell differentiation	Up		1.91e-02			1
regulation of epithelial to mesenchymal transition	Up		2.00e-02			1
positive regulation of binding	Up		2.00e-02			1
negative regulation of inflammatory response	Up		2.02e-02			1
epithelial cell differentiation involved in kidney development	Up		2.03e-02			1
regulation of neuroblast proliferation	Up		2.03e-02			1
multi-multicellular organism process	Up		2.06e-02			1
negative regulation of catalytic activity	Up		2.06e-02			1
anatomical structure maturation	Up		2.08e-02			1
mononuclear cell migration	Up		2.12e-02			1
negative regulation of leukocyte mediated cytotoxicity	Up		2.16e-02			1
positive regulation of developmental growth	Up		2.16e-02			1
heart development	Up		2.16e-02			1
regulation of leukocyte chemotaxis	Up		2.16e-02			1
export from cell	Up		2.16e-02			1
immune system development	Up		2.17e-02			1
cell junction assembly	Up		2.17e-02			1
fatty acid metabolic process	Up		2.20e-02			1
carboxylic acid metabolic process	Up		2.20e-02			1
muscle cell differentiation	Up		2.24e-02			1
embryonic organ development	Up		2.24e-02			1
positive regulation of B cell activation	Up		2.26e-02			1
synapse assembly	Up		2.28e-02			1
organ growth	Up		2.28e-02			1
leukocyte chemotaxis	Up		2.28e-02			1
positive regulation of growth	Up		2.35e-02			1
negative regulation of cell killing	Up		2.38e-02			1
negative regulation of interleukin-1 beta production	Up		2.38e-02			1
CD4-positive, alpha-beta T cell activation	Up		2.42e-02			1
response to amino acid	Up		2.42e-02			1
chemical homeostasis	Up		2.49e-02			1
myeloid leukocyte migration	Up		2.49e-02			1
striated muscle hypertrophy	Up		2.49e-02			1
regulation of cell killing	Up		2.49e-02			1
positive regulation of apoptotic process	Up		2.55e-02			1
cranial nerve development	Up		2.65e-02			1
defense response to Gram-negative bacterium	Up		2.65e-02			1
embryonic hindlimb morphogenesis	Up		2.66e-02			1
cellular response to interferon-beta	Up		2.66e-02			1
chemotaxis	Up		2.66e-02			1
taxis	Up		2.66e-02			1
regulation of primary metabolic process	Up		2.68e-02			1
cardiac chamber morphogenesis	Up		2.71e-02			1
regulation of cell junction assembly	Up		2.71e-02			1
central nervous system development	Up		2.71e-02			1
muscle hypertrophy	Up		2.72e-02			1
regulation of organ growth	Up		2.72e-02			1
negative regulation of cell motility	Up		2.72e-02			1
response to nutrient	Up		2.75e-02			1
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	Up		2.76e-02			1
oxoacid metabolic process	Up		2.78e-02			1
T cell mediated cytotoxicity	Up		2.79e-02			1
regulation of lymphocyte proliferation	Up		2.84e-02			1
chemokine production	Up		2.84e-02			1
regulation of chemokine production	Up		2.84e-02			1
regulation of B cell activation	Up		2.88e-02			1
sensory organ morphogenesis	Up		2.88e-02			1
lymph vessel development	Up		2.88e-02			1
animal organ maturation	Up		2.88e-02			1
glomerular epithelium development	Up		2.88e-02			1
postsynaptic specialization assembly	Up		2.88e-02			1
monocarboxylic acid metabolic process	Up		2.88e-02			1
multicellular organism growth	Up		2.89e-02			1
adaptive thermogenesis	Up		2.89e-02			1
cytokine production involved in inflammatory response	Up		2.93e-02			1
regulation of cytokine production involved in inflammatory response	Up		2.93e-02			1
hair follicle development	Up		2.94e-02			1
response to vitamin	Up		2.94e-02			1
organic acid metabolic process	Up		2.94e-02			1
positive regulation of cell-substrate adhesion	Up		2.96e-02			1
humoral immune response	Down		2.98e-02			1
small GTPase-mediated signal transduction	Up		3.05e-02			1
embryonic skeletal system morphogenesis	Up		3.08e-02			1
ovarian follicle development	Up		3.11e-02			1
branching involved in ureteric bud morphogenesis	Up		3.11e-02			1
cell differentiation involved in kidney development	Up		3.11e-02			1
regulation of leukocyte adhesion to vascular endothelial cell	Up		3.16e-02			1
negative regulation of endothelial cell apoptotic process	Up		3.16e-02			1
response to temperature stimulus	Up		3.16e-02			1
regulation of leukocyte differentiation	Up		3.18e-02			1
secretion	Up		3.18e-02			1
cellular response to tumor necrosis factor	Up		3.18e-02			1
muscle cell migration	Up		3.19e-02			1
molting cycle process	Up		3.19e-02			1
hair cycle process	Up		3.19e-02			1
SRP-dependent cotranslational protein targeting to membrane	Down		3.22e-02			1
positive regulation of mononuclear cell proliferation	Up		3.28e-02			1
positive regulation of cell killing	Up		3.28e-02			1
developmental maturation	Up		3.30e-02			1
lymphocyte proliferation	Up		3.34e-02			1
response to hypoxia	Up		3.36e-02			1
female pregnancy	Up		3.42e-02			1
pyridine nucleotide metabolic process	Up		3.42e-02			1
nicotinamide nucleotide metabolic process	Up		3.42e-02			1
negative regulation of protein processing	Up		3.42e-02			1
pharyngeal system development	Up		3.42e-02			1
negative regulation of cell-substrate adhesion	Up		3.46e-02			1
regulation of muscle hypertrophy	Up		3.46e-02			1
carboxylic acid biosynthetic process	Up		3.49e-02			1
regulation of osteoblast differentiation	Up		3.49e-02			1
synapse organization	Up		3.50e-02			1
negative regulation of locomotion	Up		3.56e-02			1
glycoprotein biosynthetic process	Up		3.63e-02			1
organic acid biosynthetic process	Up		3.63e-02			1
positive regulation of miRNA transcription	Up		3.65e-02			1
vascular associated smooth muscle cell differentiation	Up		3.71e-02			1
angiogenesis involved in wound healing	Up		3.71e-02			1
epithelial tube branching involved in lung morphogenesis	Up		3.71e-02			1
negative regulation of miRNA transcription	Up		3.71e-02			1
cell surface receptor signaling pathway via STAT	Up		3.83e-02			1
killing of cells of another organism	Up		3.83e-02			1
negative regulation of canonical NF-kappaB signal transduction	Up		3.83e-02			1
disruption of cell in another organism	Up		3.83e-02			1
positive regulation of neural precursor cell proliferation	Up		3.83e-02			1
CD4-positive, alpha-beta T cell differentiation	Up		3.89e-02			1
neuron migration	Up		3.90e-02			1
response to purine-containing compound	Up		3.96e-02			1
temperature homeostasis	Up		4.00e-02			1
pyridine-containing compound metabolic process	Up		4.00e-02			1
chondrocyte development	Up		4.00e-02			1
positive regulation of interleukin-10 production	Up		4.00e-02			1
embryonic forelimb morphogenesis	Up		4.00e-02			1
hindlimb morphogenesis	Up		4.00e-02			1
cell fate commitment involved in formation of primary germ layer	Up		4.00e-02			1
negative regulation of protein maturation	Up		4.00e-02			1
non-proteinogenic amino acid metabolic process	Up		4.02e-02			1
positive regulation of cold-induced thermogenesis	Up		4.02e-02			1
muscle adaptation	Up		4.19e-02			1
sprouting angiogenesis	Up		4.19e-02			1
male gonad development	Up		4.19e-02			1
positive regulation of transport	Up		4.19e-02			1
pattern specification process	Up		4.19e-02			1
regulation of morphogenesis of an epithelium	Up		4.21e-02			1
striated muscle cell differentiation	Up		4.24e-02			1
response to decreased oxygen levels	Up		4.24e-02			1
development of primary male sexual characteristics	Up		4.28e-02			1
specification of animal organ identity	Up		4.28e-02			1
stem cell division	Up		4.28e-02			1
osteoblast proliferation	Up		4.28e-02			1
cartilage development involved in endochondral bone morphogenesis	Up		4.28e-02			1
excitatory synapse assembly	Up		4.28e-02			1
negative regulation of miRNA metabolic process	Up		4.28e-02			1
leukocyte activation involved in immune response	Up		4.29e-02			1
disruption of anatomical structure in another organism	Up		4.42e-02			1
negative regulation of extrinsic apoptotic signaling pathway	Up		4.49e-02			1
sulfur compound biosynthetic process	Up		4.50e-02			1
diterpenoid biosynthetic process	Up		4.50e-02			1
negative regulation of leukocyte degranulation	Up		4.50e-02			1
eosinophil chemotaxis	Up		4.50e-02			1
embryonic skeletal joint morphogenesis	Up		4.50e-02			1
bone trabecula formation	Up		4.50e-02			1
nephric duct morphogenesis	Up		4.50e-02			1
regulation of protein localization to early endosome	Up		4.50e-02			1
positive regulation of protein localization to early endosome	Up		4.50e-02			1
positive regulation of secretion by cell	Up		4.55e-02			1
regulation of homotypic cell-cell adhesion	Up		4.57e-02			1
regulation of natural killer cell mediated cytotoxicity	Up		4.57e-02			1
regulation of fatty acid oxidation	Up		4.57e-02			1
cellular response to interleukin-4	Up		4.57e-02			1
liver regeneration	Up		4.57e-02			1
gliogenesis	Up		4.57e-02			1
transforming growth factor beta receptor superfamily signaling pathway	Up		4.57e-02			1
positive regulation of chemokine production	Up		4.57e-02			1
cell activation involved in immune response	Up		4.60e-02			1
positive regulation of leukocyte proliferation	Up		4.62e-02			1
positive regulation of epithelial cell proliferation	Up		4.68e-02			1
regionalization	Up		4.76e-02			1
response to leukemia inhibitory factor	Up		4.76e-02			1
negative regulation of cell migration	Up		4.79e-02			1
regulation of smooth muscle cell migration	Up		4.79e-02			1
regulation of multicellular organism growth	Up		4.79e-02			1
bone resorption	Up		4.79e-02			1
response to nutrient levels	Up		4.86e-02			1
cell fate determination	Up		4.90e-02			1
positive regulation of fatty acid metabolic process	Up		4.90e-02			1
response to growth hormone	Up		4.90e-02			1
response to interleukin-4	Up		4.90e-02			1
animal organ morphogenesis	Down			1.59e-07		1
cell adhesion	Down			1.72e-07		1
tube development	Down			2.81e-07		1
tube morphogenesis	Down			2.84e-07		1
tissue development	Down			3.19e-07		1
circulatory system development	Down			4.04e-07		1
anatomical structure morphogenesis	Down			6.12e-07		1
system development	Down			6.12e-07		1
anatomical structure formation involved in morphogenesis	Down			8.62e-07		1
regulation of multicellular organismal process	Down			1.56e-06		1
anatomical structure development	Down			1.73e-06		1
positive regulation of cell differentiation	Down			2.93e-06		1
cell communication	Down			3.17e-06		1
animal organ development	Down			3.17e-06		1
signaling	Down			4.08e-06		1
blood vessel development	Down			4.22e-06		1
developmental process	Down			4.95e-06		1
multicellular organism development	Down			5.09e-06		1
negative regulation of multicellular organismal process	Down			7.00e-06		1
epithelium development	Down			7.68e-06		1
signal transduction	Down			8.16e-06		1
vasculature development	Down			9.15e-06		1
regulation of cell differentiation	Down			1.02e-05		1
cell activation	Down			1.14e-05		1
blood vessel morphogenesis	Down			1.23e-05		1
cell migration	Down			1.23e-05		1
positive regulation of developmental process	Down			1.61e-05		1
regulation of cell population proliferation	Down			2.07e-05		1
positive regulation of multicellular organismal process	Down			2.49e-05		1
cell differentiation	Down			2.49e-05		1
cellular developmental process	Down			2.49e-05		1
tissue morphogenesis	Down			2.56e-05		1
regulation of multicellular organismal development	Down			5.41e-05		1
regulation of developmental process	Down			5.41e-05		1
cell-cell adhesion	Down			5.41e-05		1
muscle cell differentiation	Down			6.26e-05		1
extracellular matrix organization	Down			7.55e-05		1
extracellular structure organization	Down			7.72e-05		1
external encapsulating structure organization	Down			7.72e-05		1
cell population proliferation	Down			9.26e-05		1
muscle structure development	Down			1.01e-04		1
pattern specification process	Down			1.11e-04		1
chemotaxis	Down			1.12e-04		1
taxis	Down			1.12e-04		1
cell motility	Down			1.19e-04		1
intracellular signaling cassette	Down			1.30e-04		1
negative regulation of developmental process	Down			1.50e-04		1
negative regulation of cell population proliferation	Down			2.19e-04		1
regulation of cell migration	Down			2.89e-04		1
heart development	Down			3.02e-04		1
angiogenesis	Down			3.36e-04		1
cell-cell signaling	Down			3.83e-04		1
cell surface receptor signaling pathway	Down			3.86e-04		1
morphogenesis of an epithelium	Down			4.03e-04		1
regionalization	Down			4.92e-04		1
leukocyte activation	Down			5.47e-04		1
mesenchyme development	Down			5.47e-04		1
regulation of response to stimulus	Down			6.53e-04		1
morphogenesis of a branching epithelium	Down			6.96e-04		1
response to chemical	Down			7.01e-04		1
locomotion	Down			7.14e-04		1
regulation of signal transduction	Down			7.14e-04		1
detoxification of copper ion	Up			7.31e-04		1
stress response to copper ion	Up			7.31e-04		1
regulation of cell adhesion	Down			7.53e-04		1
response to copper ion	Up			8.31e-04		1
skin development	Down			8.80e-04		1
regulation of cell motility	Down			9.51e-04		1
positive regulation of locomotion	Down			9.51e-04		1
regulation of cell communication	Down			9.96e-04		1
regulation of locomotion	Down			1.00e-03		1
positive regulation of cell motility	Down			1.42e-03		1
embryonic morphogenesis	Down			1.59e-03		1
morphogenesis of a branching structure	Down			1.59e-03		1
regulation of signaling	Down			1.59e-03		1
positive regulation of cell migration	Down			1.63e-03		1
cell fate commitment	Down			1.69e-03		1
cardiac right ventricle morphogenesis	Down			1.71e-03		1
cardiac septum morphogenesis	Down			1.79e-03		1
striated muscle cell differentiation	Down			1.79e-03		1
myoblast differentiation	Down			2.09e-03		1
stress response to metal ion	Up			2.27e-03		1
cellular response to copper ion	Up			2.27e-03		1
detoxification of inorganic compound	Up			2.27e-03		1
cellular response to zinc ion	Up			2.27e-03		1
cardiac septum development	Down			2.28e-03		1
negative regulation of cell differentiation	Down			2.28e-03		1
intracellular signal transduction	Down			2.44e-03		1
epidermis development	Down			2.55e-03		1
import into cell	Down			2.99e-03		1
response to external stimulus	Down			3.01e-03		1
positive regulation of cellular process	Down			3.31e-03		1
learning or memory	Down			3.35e-03		1
learning	Down			3.35e-03		1
platelet activation	Down			3.35e-03		1
formation of primary germ layer	Down			3.77e-03		1
cellular response to cadmium ion	Up			3.97e-03		1
skeletal system development	Down			3.98e-03		1
response to zinc ion	Up			4.00e-03		1
negative regulation of myoblast differentiation	Down			4.02e-03		1
skin epidermis development	Down			4.02e-03		1
cell development	Down			4.06e-03		1
positive regulation of cell communication	Down			4.17e-03		1
embryonic organ development	Down			4.40e-03		1
endoderm development	Down			4.70e-03		1
regulation of animal organ morphogenesis	Down			4.70e-03		1
negative regulation of cardiocyte differentiation	Down			5.17e-03		1
smooth muscle cell differentiation	Down			5.29e-03		1
cardiocyte differentiation	Down			5.86e-03		1
regulation of myoblast differentiation	Down			5.91e-03		1
positive regulation of cell population proliferation	Down			5.91e-03		1
regulation of leukocyte chemotaxis	Down			5.91e-03		1
regulation of cardiocyte differentiation	Down			6.36e-03		1
immune system process	Down			6.42e-03		1
connective tissue development	Down			6.65e-03		1
regulation of leukocyte migration	Down			6.65e-03		1
negative regulation of biological process	Down			6.68e-03		1
positive regulation of biological process	Down			6.82e-03		1
stem cell differentiation	Down			6.92e-03		1
sympathetic nervous system development	Down			7.02e-03		1
positive regulation of signaling	Down			7.06e-03		1
leukocyte migration	Down			7.10e-03		1
mesenchymal cell differentiation	Down			7.48e-03		1
negative regulation of Wnt signaling pathway	Down			7.48e-03		1
myeloid leukocyte activation	Down			7.50e-03		1
ureteric bud development	Down			7.63e-03		1
cell chemotaxis	Down			7.68e-03		1
phagocytosis	Down			8.01e-03		1
mesenchymal cell migration	Down			8.01e-03		1
mononuclear cell migration	Down			8.01e-03		1
kidney morphogenesis	Down			8.01e-03		1
mesonephric epithelium development	Down			8.01e-03		1
mesonephric tubule development	Down			8.01e-03		1
heart morphogenesis	Down			8.60e-03		1
gland morphogenesis	Down			8.60e-03		1
nephron tubule development	Down			8.64e-03		1
positive regulation of synaptic transmission, glutamatergic	Down			8.64e-03		1
endoderm formation	Down			8.80e-03		1
mesenchymal to epithelial transition	Down			8.80e-03		1
lymphocyte activation	Down			8.89e-03		1
positive regulation of cellular component biogenesis	Down			9.05e-03		1
kidney development	Down			9.05e-03		1
regulation of chemotaxis	Down			9.05e-03		1
mesonephros development	Down			9.05e-03		1
regulation of anatomical structure morphogenesis	Down			9.19e-03		1
response to mechanical stimulus	Down			9.31e-03		1
epithelial cell differentiation	Down			9.31e-03		1
cartilage development	Down			9.37e-03		1
renal tubule development	Down			9.65e-03		1
positive regulation of signal transduction	Down			9.84e-03		1
nervous system development	Down			9.85e-03		1
embryo development	Down			9.85e-03		1
lymphocyte differentiation	Down			1.01e-02		1
cardiac chamber development	Down			1.01e-02		1
renal system development	Down			1.01e-02		1
collagen metabolic process	Down			1.01e-02		1
positive regulation of nervous system development	Down			1.01e-02		1
response to wounding	Down			1.01e-02		1
cardiac chamber morphogenesis	Down			1.02e-02		1
regulation of cell activation	Down			1.02e-02		1
small GTPase-mediated signal transduction	Down			1.02e-02		1
cognition	Down			1.03e-02		1
kidney epithelium development	Down			1.04e-02		1
amino sugar catabolic process	Down			1.04e-02		1
cardiac ventricle development	Down			1.08e-02		1
positive regulation of miRNA transcription	Down			1.10e-02		1
regulation of immune system process	Down			1.10e-02		1
regulation of kidney development	Down			1.10e-02		1
regulation of cell development	Down			1.12e-02		1
chemical synaptic transmission	Down			1.13e-02		1
anterograde trans-synaptic signaling	Down			1.13e-02		1
head development	Down			1.16e-02		1
positive regulation of plasma membrane bounded cell projection assembly	Down			1.22e-02		1
branching morphogenesis of an epithelial tube	Down			1.23e-02		1
epithelial tube morphogenesis	Down			1.24e-02		1
trans-synaptic signaling	Down			1.25e-02		1
dopamine transport	Down			1.26e-02		1
intermediate filament organization	Down			1.26e-02		1
regulation of gliogenesis	Down			1.26e-02		1
dopamine secretion	Down			1.26e-02		1
positive regulation of smooth muscle cell differentiation	Down			1.26e-02		1
nephron tubule formation	Down			1.26e-02		1
renal vesicle development	Down			1.26e-02		1
regulation of miRNA transcription	Down			1.26e-02		1
cardiac ventricle morphogenesis	Down			1.26e-02		1
muscle tissue development	Down			1.35e-02		1
supramolecular fiber organization	Down			1.36e-02		1
miRNA transcription	Down			1.36e-02		1
positive regulation of protein-containing complex assembly	Down			1.36e-02		1
gliogenesis	Down			1.36e-02		1
epithelial cell differentiation involved in kidney development	Down			1.37e-02		1
mesonephric tubule morphogenesis	Down			1.38e-02		1
cardiac muscle tissue development	Down			1.41e-02		1
molting cycle	Down			1.41e-02		1
hair cycle	Down			1.41e-02		1
central nervous system development	Down			1.45e-02		1
negative regulation of cell adhesion	Down			1.47e-02		1
coagulation	Down			1.47e-02		1
negative regulation of cellular process	Down			1.47e-02		1
intracellular zinc ion homeostasis	Up			1.48e-02		1
regulation of chondrocyte differentiation	Down			1.51e-02		1
regulation of MAPK cascade	Down			1.51e-02		1
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	Down			1.52e-02		1
prostate gland epithelium morphogenesis	Down			1.52e-02		1
regulation of programmed cell death	Down			1.53e-02		1
astrocyte differentiation	Down			1.54e-02		1
regulation of muscle cell differentiation	Down			1.58e-02		1
cell fate determination	Down			1.58e-02		1
autonomic nervous system development	Down			1.58e-02		1
positive regulation of gliogenesis	Down			1.58e-02		1
regulation of cell-cell adhesion	Down			1.58e-02		1
response to glucocorticoid	Down			1.58e-02		1
regulation of epithelial cell proliferation	Down			1.58e-02		1
export from cell	Down			1.59e-02		1
trabecula morphogenesis	Down			1.62e-02		1
artery development	Down			1.65e-02		1
response to lipid	Down			1.69e-02		1
positive regulation of intracellular signal transduction	Down			1.72e-02		1
chondrocyte differentiation	Down			1.76e-02		1
sensory system development	Down			1.76e-02		1
Wnt signaling pathway	Down			1.76e-02		1
positive regulation of cell development	Down			1.78e-02		1
metanephric nephron development	Down			1.78e-02		1
calcium ion transmembrane import into cytosol	Down			1.78e-02		1
ionotropic glutamate receptor signaling pathway	Down			1.78e-02		1
prostate gland morphogenesis	Down			1.78e-02		1
synaptic signaling	Down			1.80e-02		1
epithelial cell proliferation	Down			1.83e-02		1
regulation of nervous system development	Down			1.87e-02		1
regulation of leukocyte activation	Down			1.92e-02		1
outflow tract morphogenesis	Down			2.00e-02		1
regulation of intracellular signal transduction	Down			2.00e-02		1
leukocyte chemotaxis	Down			2.00e-02		1
regulation of molecular function	Down			2.01e-02		1
brain development	Down			2.01e-02		1
positive regulation of transport	Down			2.01e-02		1
positive regulation of leukocyte migration	Down			2.05e-02		1
nephron epithelium development	Down			2.07e-02		1
response to endogenous stimulus	Down			2.08e-02		1
camera-type eye development	Down			2.10e-02		1
regulation of Wnt signaling pathway	Down			2.11e-02		1
nephron tubule morphogenesis	Down			2.11e-02		1
positive regulation of miRNA metabolic process	Down			2.11e-02		1
neural crest cell migration	Down			2.11e-02		1
cell differentiation involved in kidney development	Down			2.11e-02		1
secretion by cell	Down			2.22e-02		1
gastrulation	Down			2.23e-02		1
calcium ion transmembrane transport	Down			2.23e-02		1
negative regulation of endothelial cell proliferation	Down			2.23e-02		1
negative regulation of striated muscle cell differentiation	Down			2.23e-02		1
artery morphogenesis	Down			2.28e-02		1
positive regulation of cellular component organization	Down			2.31e-02		1
negative regulation of BMP signaling pathway	Down			2.31e-02		1
regulation of synaptic transmission, glutamatergic	Down			2.31e-02		1
muscle cell development	Down			2.31e-02		1
response to oxygen-containing compound	Down			2.31e-02		1
negative regulation of cellular response to growth factor stimulus	Down			2.34e-02		1
